[25/04/24, 6:52:55 PM] O2: Shsus
‎[25/04/24, 6:58:12 PM] O2: ‎image omitted
‎[25/04/24, 6:58:12 PM] O2: ‎image omitted
‎[25/04/24, 6:58:12 PM] O2: ‎image omitted
‎[25/04/24, 6:58:13 PM] O2: ‎image omitted
‎[25/04/24, 6:58:14 PM] O2: ‎image omitted
‎[25/04/24, 6:58:14 PM] O2: ‎image omitted
‎[25/04/24, 6:58:15 PM] O2: ‎image omitted
‎[25/04/24, 6:58:15 PM] O2: ‎image omitted
‎[25/04/24, 6:58:15 PM] O2: ‎image omitted
‎[25/04/24, 6:58:16 PM] O2: ‎image omitted
‎[25/04/24, 6:58:17 PM] O2: ‎image omitted
‎[25/04/24, 6:58:17 PM] O2: ‎image omitted
‎[25/04/24, 6:58:17 PM] O2: ‎image omitted
‎[25/04/24, 6:58:18 PM] O2: ‎image omitted
‎[25/04/24, 6:58:40 PM] O2: ‎video omitted
‎[25/04/24, 6:58:40 PM] O2: ‎image omitted
‎[25/04/24, 6:58:40 PM] O2: ‎image omitted
‎[25/04/24, 6:58:41 PM] O2: ‎image omitted
‎[25/04/24, 6:58:41 PM] O2: ‎image omitted
‎[25/04/24, 6:58:41 PM] O2: ‎image omitted
‎[25/04/24, 6:59:56 PM] O2: ‎video omitted
‎[25/04/24, 6:59:57 PM] O2: ‎image omitted
‎[25/04/24, 6:59:57 PM] O2: ‎image omitted
‎[25/04/24, 7:01:55 PM] O2: ‎video omitted
‎[25/04/24, 7:02:00 PM] O2: ‎video omitted
‎[25/04/24, 7:02:01 PM] O2: ‎image omitted
‎[25/04/24, 7:02:01 PM] O2: ‎image omitted
‎[25/04/24, 7:02:02 PM] O2: ‎image omitted
‎[25/04/24, 7:02:02 PM] O2: ‎video omitted
‎[25/04/24, 7:02:09 PM] O2: ‎video omitted
‎[25/04/24, 7:02:28 PM] O2: ‎video omitted
‎[25/04/24, 7:02:41 PM] O2: ‎video omitted
‎[25/04/24, 7:02:59 PM] O2: ‎video omitted
‎[25/04/24, 7:03:20 PM] O2: ‎video omitted
‎[25/04/24, 7:03:26 PM] O2: ‎video omitted
‎[25/04/24, 7:03:47 PM] O2: ‎video omitted
‎[25/04/24, 7:03:53 PM] O2: ‎video omitted
‎[25/04/24, 7:04:14 PM] O2: ‎video omitted
‎[25/04/24, 7:04:34 PM] O2: ‎video omitted
‎[25/04/24, 7:05:00 PM] O2: ‎video omitted
‎[25/04/24, 7:05:08 PM] O2: ‎video omitted
‎[25/04/24, 7:05:57 PM] O2: ‎video omitted
‎[25/04/24, 7:06:08 PM] O2: ‎video omitted
‎[25/04/24, 7:06:17 PM] O2: ‎video omitted
‎[25/04/24, 7:06:21 PM] O2: ‎video omitted
‎[25/04/24, 7:07:11 PM] O2: ‎video omitted
‎[25/04/24, 7:07:34 PM] O2: ‎video omitted
‎[25/04/24, 7:07:57 PM] O2: ‎video omitted
‎[25/04/24, 7:08:10 PM] O2: ‎video omitted
‎[29/04/24, 7:34:22 PM] O2: ‎image omitted
‎[29/04/24, 7:34:23 PM] O2: ‎image omitted
‎[29/04/24, 7:34:23 PM] O2: ‎image omitted
‎[29/04/24, 7:34:23 PM] O2: ‎image omitted
‎[14/05/24, 6:29:53 PM] O2: CHEM DECODE 3_4_5_6.pdf • ‎167 pages ‎document omitted
‎[07/06/24, 7:33:31 PM] O2: ‎image omitted
‎[07/06/24, 7:33:32 PM] O2: ‎image omitted
‎[07/06/24, 7:33:33 PM] O2: ‎image omitted
‎[07/06/24, 7:33:33 PM] O2: ‎image omitted
‎[07/06/24, 7:33:34 PM] O2: ‎image omitted
‎[07/06/24, 7:33:34 PM] O2: ‎image omitted
‎[07/06/24, 7:33:35 PM] O2: ‎image omitted
‎[07/06/24, 7:33:35 PM] O2: ‎image omitted
‎[07/06/24, 7:33:48 PM] O2: ‎video omitted
‎[07/06/24, 7:33:48 PM] O2: ‎image omitted
‎[07/06/24, 7:33:48 PM] O2: ‎image omitted
‎[07/06/24, 7:33:49 PM] O2: ‎image omitted
‎[07/06/24, 7:33:49 PM] O2: ‎image omitted
‎[07/06/24, 7:33:50 PM] O2: ‎image omitted
‎[07/06/24, 7:33:53 PM] O2: ‎video omitted
‎[07/06/24, 7:34:05 PM] O2: ‎video omitted
‎[07/06/24, 7:34:06 PM] O2: ‎image omitted
‎[07/06/24, 7:34:06 PM] O2: ‎image omitted
‎[07/06/24, 7:34:07 PM] O2: ‎image omitted
‎[07/06/24, 7:34:07 PM] O2: ‎image omitted
‎[07/06/24, 7:34:07 PM] O2: ‎image omitted
‎[07/06/24, 7:34:08 PM] O2: ‎image omitted
‎[07/06/24, 7:34:08 PM] O2: ‎image omitted
‎[07/06/24, 7:34:08 PM] O2: ‎image omitted
‎[07/06/24, 7:34:09 PM] O2: ‎image omitted
‎[07/06/24, 7:34:09 PM] O2: ‎image omitted
‎[07/06/24, 7:34:56 PM] O2: ‎video omitted
‎[07/06/24, 7:34:56 PM] O2: ‎image omitted
‎[07/06/24, 7:34:56 PM] O2: ‎image omitted
[07/06/24, 7:36:42 PM] Aman: Baaki aa rhi h?
[07/06/24, 7:36:54 PM] O2: Baaki?
[07/06/24, 7:37:21 PM] Aman: Hmm
[07/06/24, 7:37:34 PM] O2: Konsi
[07/06/24, 7:37:38 PM] O2: Itni h h
[07/06/24, 7:37:46 PM] Aman: 29?
[07/06/24, 7:37:57 PM] O2: Hmm😊
[07/06/24, 7:38:20 PM] Aman: Tumhe pata h ik
‎[07/06/24, 7:38:40 PM] O2: ‎image omitted
[07/06/24, 7:38:47 PM] O2: Ye lo achha ek aur
[07/06/24, 7:38:51 PM] O2: Ab bas
[07/06/24, 7:39:13 PM] Aman: Sari dedo na
‎[07/06/24, 7:39:45 PM] O2: ‎image omitted
[07/06/24, 7:39:47 PM] O2: Ab basss
[07/06/24, 7:40:08 PM] Aman: Kyu kajal?
[07/06/24, 7:40:18 PM] O2: 😁
[07/06/24, 7:40:27 PM] Aman: Send all na
[07/06/24, 7:40:35 PM] Aman: I trusted u
[07/06/24, 7:40:52 PM] O2: Free me de du?🥺
[07/06/24, 7:41:03 PM] Aman: Kya chaiye?
[07/06/24, 7:41:32 PM] O2: Soch kr btaungi🥱
[07/06/24, 7:41:49 PM] Aman: Send all
[07/06/24, 7:42:25 PM] O2: Thoda aur request 😚
[07/06/24, 7:42:37 PM] Aman: Axa yr pls
‎[07/06/24, 7:43:14 PM] O2: ‎video omitted
[07/06/24, 7:43:56 PM] Aman: All
‎[07/06/24, 7:43:57 PM] O2: ‎video omitted
‎[07/06/24, 7:44:20 PM] O2: ‎video omitted
‎[07/06/24, 7:44:42 PM] O2: ‎video omitted
‎[07/06/24, 7:44:52 PM] O2: ‎video omitted
[07/06/24, 7:44:57 PM] O2: Aa rhi
‎[07/06/24, 7:44:57 PM] O2: ‎video omitted
[07/06/24, 7:45:16 PM] Aman: Pics too
‎[07/06/24, 7:45:20 PM] O2: ‎video omitted
[07/06/24, 7:45:28 PM] O2: Ab ho gyi sari
[07/06/24, 7:45:35 PM] Aman: .
[07/06/24, 7:46:16 PM] Aman: Not yet
[07/06/24, 7:47:11 PM] O2: Ab konsi bachi h?
[07/06/24, 7:47:32 PM] Aman: Yeh bhi batana padega ab?
[07/06/24, 7:47:49 PM] Aman: Rest marine drive pics
[07/06/24, 7:48:13 PM] O2: Itni hi to thi
[07/06/24, 7:48:27 PM] Aman: Stop lying kajal pls
[07/06/24, 7:48:49 PM] Aman: Why u don't wish to send 
Atleast tell?
[07/06/24, 7:49:25 PM] O2: Ek min achha
[07/06/24, 7:49:44 PM] Aman: Ok
‎[07/06/24, 7:50:06 PM] O2: ‎image omitted
‎[07/06/24, 7:50:08 PM] O2: ‎image omitted
‎[07/06/24, 7:50:08 PM] O2: ‎image omitted
‎[07/06/24, 7:50:08 PM] O2: ‎image omitted
‎[07/06/24, 7:50:09 PM] O2: ‎image omitted
‎[07/06/24, 7:50:09 PM] O2: ‎image omitted
‎[07/06/24, 7:50:10 PM] O2: ‎image omitted
‎[07/06/24, 7:50:10 PM] O2: ‎image omitted
‎[07/06/24, 7:50:12 PM] O2: ‎image omitted
‎[07/06/24, 7:50:12 PM] O2: ‎image omitted
‎[07/06/24, 7:50:13 PM] O2: ‎image omitted
‎[07/06/24, 7:50:13 PM] O2: ‎video omitted
[07/06/24, 7:50:21 PM] O2: Mujhe laga send kar diya
‎[07/06/24, 7:50:21 PM] O2: ‎video omitted
‎[07/06/24, 7:50:21 PM] O2: ‎image omitted
‎[07/06/24, 7:50:22 PM] O2: ‎image omitted
‎[07/06/24, 7:50:22 PM] O2: ‎image omitted
‎[07/06/24, 7:50:22 PM] O2: ‎image omitted
[07/06/24, 7:50:50 PM] Aman: Axa ok np
[07/06/24, 7:51:02 PM] Aman: Thanks
[07/06/24, 7:51:02 PM] O2: Hm
[07/06/24, 7:51:19 PM] Aman: Tumhe pata h vaise !
[07/06/24, 7:51:40 PM] Aman: Aaj tumhare bhaiya Ghar aaye the mere
[07/06/24, 7:51:48 PM] O2: Ha btaya tha
[07/06/24, 7:52:02 PM] Aman: But us time just papa aaye hue the
[07/06/24, 7:52:10 PM] Aman: Aur mumma akeli thi
[07/06/24, 7:52:20 PM] O2: Achha
[07/06/24, 7:52:30 PM] Aman: Toh Pani aur sweets ke alawa jyada kuch tha hi nahi ‎<This message was edited>
[07/06/24, 7:52:37 PM] Aman: Unko bekar toh nhi laga hoga na?
[07/06/24, 7:52:46 PM] O2: Tum ye kyu bta rhe ho😂
[07/06/24, 7:53:07 PM] O2: Are Aisa kuchh discussion hi nhi hua tha
[07/06/24, 7:53:17 PM] O2: Bilkul bhi nhi
[07/06/24, 7:53:25 PM] Aman: Axa theek h
[07/06/24, 7:53:29 PM] Aman: Hmm vo toh pata h
[07/06/24, 7:53:46 PM] Aman: Tumhari scooty shi ho gyi kya?
[07/06/24, 7:53:56 PM] O2: Puri tarah se nhi
[07/06/24, 7:54:05 PM] Aman: Axa mere eardopes tumhare pass h kya ek bari check kar lena
[07/06/24, 7:54:14 PM] O2: Thik h
[07/06/24, 7:54:21 PM] Aman: Yep
[07/06/24, 7:54:35 PM] Aman: Bus itna hi kehna tha
[07/06/24, 7:54:45 PM] O2: Okay
[07/06/24, 7:54:52 PM] Aman: Yep
[07/06/24, 7:54:59 PM] Aman: Good night kajal!
[07/06/24, 7:55:03 PM] Aman: Take care
[07/06/24, 7:55:08 PM] O2: Good night
[07/06/24, 7:55:12 PM] O2: You too
‎[29/07/24, 1:30:33 AM] Aman: ‎image omitted
[29/07/24, 1:32:08 AM] Aman: ‎You deleted this message.
‎[29/07/24, 1:33:17 AM] O2: ‎image omitted
‎[01/08/24, 8:04:00 PM] Aman: SingleFileDownload.pdf • ‎1 page ‎document omitted
[01/08/24, 8:28:51 PM] O2: ?
[01/08/24, 8:33:50 PM] Aman: Galti se bhej di
[01/08/24, 11:52:25 PM] Aman: yep
[01/08/24, 11:52:37 PM] Aman: isme hi message karna ok abhi!
[01/08/24, 11:54:50 PM] Aman: tum?
[01/08/24, 11:55:50 PM] O2: ha
[01/08/24, 11:55:54 PM] Aman: ok
[01/08/24, 11:56:00 PM] Aman: axa kajal
[01/08/24, 11:56:12 PM] O2: hm
[01/08/24, 11:56:26 PM] Aman: ek jhatka du?
[01/08/24, 11:56:35 PM] O2: hm
[01/08/24, 11:56:42 PM] Aman: maths tut likh liya?
[01/08/24, 11:57:00 PM] O2: nhi🥲
[01/08/24, 11:57:11 PM] Aman: bilkul bhi nhi?
[01/08/24, 11:57:19 PM] O2: ha pta h kal h
[01/08/24, 11:57:36 PM] O2: kuchh kiye h
[01/08/24, 11:57:41 PM] Aman: ok
[01/08/24, 11:58:26 PM] Aman: baaki kab kaogi phir?
[01/08/24, 11:58:45 PM] O2: kal
[01/08/24, 11:58:54 PM] Aman: ok
